name,brand,type,gender,shape,frame_material,color,price,description,rating,reviews_count
SOJOS Square Sunglasses 20,SOJOS,sunglasses,male,square,acetate,brown,14257,"Коричневые мужские очки формы квадратные, ацетатная оправа, UV400.",4.91,38
Carrera Aviator Sunglasses 21,Carrera,sunglasses,female,aviator,plastic,black,14718,"Черные женские очки формы авиаторы, пластиковая оправа, UV400.",4.17,1918
SOJOS Aviator Sunglasses 22,SOJOS,sunglasses,unisex,aviator,acetate,black,9462,"Черные унисекс очки формы авиаторы, ацетатная оправа, UV400.",4.78,24943
Polaroid Rectangular Sunglasses 23,Polaroid,sunglasses,male,rectangular,metal,blue,5842,"Синие мужские очки формы прямоугольные, металлическая оправа, UV400.",4.43,19896
Guess Cat-Eye Sunglasses 24,Guess,sunglasses,male,cat-eye,acetate,brown,6607,"Коричневые мужские очки формы кошачий глаз, ацетатная оправа, UV400.",4.28,22029
Carrera Cat-Eye Sunglasses 25,Carrera,sunglasses,female,cat-eye,metal,silver,5561,"Серебристые женские очки формы кошачий глаз, металлическая оправа, UV400.",4.07,11098
Ray-Ban Cat-Eye Sunglasses 26,Ray-Ban,sunglasses,unisex,cat-eye,acetate,brown,5108,"Коричневые унисекс очки формы кошачий глаз, ацетатная оправа, UV400.",3.81,23214
Ray-Ban Aviator Sunglasses 27,Ray-Ban,sunglasses,male,aviator,plastic,black,2660,"Черные мужские очки формы авиаторы, пластиковая оправа, UV400.",4.42,9145
Prada Cat-Eye Sunglasses 28,Prada,sunglasses,male,cat-eye,acetate,brown,10855,"Коричневые мужские очки формы кошачий глаз, ацетатная оправа, UV400.",4.49,7982
Prada Round Sunglasses 29,Prada,sunglasses,female,round,metal,black,12296,"Черные женские очки формы круглые, металлическая оправа, UV400.",4.32,13899
Guess Aviator Sunglasses 30,Guess,sunglasses,female,aviator,metal,black,8096,"Черные женские очки формы авиаторы, металлическая оправа, UV400.",4.67,26253
Oakley Round Sunglasses 31,Oakley,sunglasses,male,round,acetate,brown,8850,"Коричневые мужские очки формы круглые, ацетатная оправа, UV400.",3.97,6032
Vogue Round Sunglasses 32,Vogue,sunglasses,female,round,plastic,black,14738,"Черные женские очки формы круглые, пластиковая оправа, UV400.",4.83,18053
Oakley Cat-Eye Sunglasses 33,Oakley,sunglasses,male,cat-eye,metal,black,13846,"Черные мужские очки формы кошачий глаз, металлическая оправа, UV400.",4.82,5469
Guess Rectangular Sunglasses 34,Guess,sunglasses,female,rectangular,plastic,brown,2460,"Коричневые женские очки формы прямоугольные, пластиковая оправа, UV400.",4.0,90
Guess Rectangular Sunglasses 35,Guess,sunglasses,female,rectangular,plastic,gold,12912,"Золотые женские очки формы прямоугольные, пластиковая оправа, UV400.",4.95,25689
Prada Round Sunglasses 36,Prada,sunglasses,male,round,metal,gold,2458,"Золотые мужские очки формы круглые, металлическая оправа, UV400.",4.5,17786
Ray-Ban Square Sunglasses 37,Ray-Ban,sunglasses,unisex,square,metal,black,11071,"Черные унисекс очки формы квадратные, металлическая оправа, UV400.",4.37,27961
Polaroid Cat-Eye Sunglasses 38,Polaroid,sunglasses,male,cat-eye,metal,black,2622,"Черные мужские очки формы кошачий глаз, металлическая оправа, UV400.",4.51,22145
SOJOS Aviator Sunglasses 39,SOJOS,sunglasses,female,aviator,metal,blue,10985,"Синие женские очки формы авиаторы, металлическая оправа, UV400.",4.51,20315
Oakley Cat-Eye Sunglasses 40,Oakley,sunglasses,female,cat-eye,acetate,blue,6683,"Синие женские очки формы кошачий глаз, ацетатная оправа, UV400.",4.92,6713
Carrera Square Sunglasses 41,Carrera,sunglasses,male,square,metal,silver,12504,"Серебристые мужские очки формы квадратные, металлическая оправа, UV400.",4.57,15002
Carrera Aviator Sunglasses 42,Carrera,sunglasses,male,aviator,acetate,silver,10724,"Серебристые мужские очки формы авиаторы, ацетатная оправа, UV400.",5.0,2420
SOJOS Square Sunglasses 43,SOJOS,sunglasses,unisex,square,plastic,brown,2627,"Коричневые унисекс очки формы квадратные, пластиковая оправа, UV400.",4.86,12128
Vogue Rectangular Sunglasses 44,Vogue,sunglasses,male,rectangular,acetate,blue,6456,"Синие мужские очки формы прямоугольные, ацетатная оправа, UV400.",4.53,26467
Ray-Ban Cat-Eye Sunglasses 45,Ray-Ban,sunglasses,unisex,cat-eye,acetate,gold,3197,"Золотые унисекс очки формы кошачий глаз, ацетатная оправа, UV400.",4.93,4420
Vogue Aviator Sunglasses 46,Vogue,sunglasses,male,aviator,metal,blue,5962,"Синие мужские очки формы авиаторы, металлическая оправа, UV400.",4.14,6921
Carrera Square Sunglasses 47,Carrera,sunglasses,male,square,plastic,blue,5614,"Синие мужские очки формы квадратные, пластиковая оправа, UV400.",4.89,27745
Ray-Ban Rectangular Sunglasses 48,Ray-Ban,sunglasses,male,rectangular,metal,gold,1558,"Золотые мужские очки формы прямоугольные, металлическая оправа, UV400.",4.2,4306
Vogue Rectangular Sunglasses 49,Vogue,sunglasses,male,rectangular,acetate,blue,8507,"Синие мужские очки формы прямоугольные, ацетатная оправа, UV400.",4.47,3685
Oakley Round Sunglasses 50,Oakley,sunglasses,unisex,round,metal,blue,7549,"Синие унисекс очки формы круглые, металлическая оправа, UV400.",4.5,4872
Guess Aviator Sunglasses 51,Guess,sunglasses,male,aviator,plastic,gold,14543,"Золотые мужские очки формы авиаторы, пластиковая оправа, UV400.",4.97,1327
Carrera Round Sunglasses 52,Carrera,sunglasses,male,round,plastic,black,14281,"Черные мужские очки формы круглые, пластиковая оправа, UV400.",4.47,28682
Guess Round Sunglasses 53,Guess,sunglasses,unisex,round,metal,brown,14605,"Коричневые унисекс очки формы круглые, металлическая оправа, UV400.",4.77,28902
Guess Round Sunglasses 54,Guess,sunglasses,male,round,plastic,gold,14643,"Золотые мужские очки формы круглые, пластиковая оправа, UV400.",4.6,24106
SOJOS Round Sunglasses 55,SOJOS,sunglasses,female,round,plastic,black,2134,"Черные женские очки формы круглые, пластиковая оправа, UV400.",4.83,7308
SOJOS Square Sunglasses 56,SOJOS,sunglasses,female,square,metal,gold,5152,"Золотые женские очки формы квадратные, металлическая оправа, UV400.",3.83,6348
Guess Square Sunglasses 57,Guess,sunglasses,female,square,plastic,black,7253,"Черные женские очки формы квадратные, пластиковая оправа, UV400.",4.57,13116
Carrera Aviator Sunglasses 58,Carrera,sunglasses,male,aviator,metal,gold,11012,"Золотые мужские очки формы авиаторы, металлическая оправа, UV400.",4.96,8718
Ray-Ban Cat-Eye Sunglasses 59,Ray-Ban,sunglasses,male,cat-eye,plastic,silver,13436,"Серебристые мужские очки формы кошачий глаз, пластиковая оправа, UV400.",4.74,14319
Oakley Cat-Eye Sunglasses 60,Oakley,sunglasses,female,cat-eye,plastic,brown,2227,"Коричневые женские очки формы кошачий глаз, пластиковая оправа, UV400.",4.65,75
SOJOS Rectangular Sunglasses 61,SOJOS,sunglasses,female,rectangular,acetate,black,6909,"Черные женские очки формы прямоугольные, ацетатная оправа, UV400.",4.55,21757
Oakley Square Sunglasses 62,Oakley,sunglasses,unisex,square,plastic,blue,12426,"Синие унисекс очки формы квадратные, пластиковая оправа, UV400.",4.29,13205
Vogue Round Sunglasses 63,Vogue,sunglasses,unisex,round,plastic,brown,12394,"Коричневые унисекс очки формы круглые, пластиковая оправа, UV400.",4.93,22214
Polaroid Cat-Eye Sunglasses 64,Polaroid,sunglasses,unisex,cat-eye,plastic,gold,10477,"Золотые унисекс очки формы кошачий глаз, пластиковая оправа, UV400.",4.8,9977
Vogue Rectangular Sunglasses 65,Vogue,sunglasses,male,rectangular,acetate,blue,12226,"Синие мужские очки формы прямоугольные, ацетатная оправа, UV400.",4.19,14496
Prada Round Sunglasses 66,Prada,sunglasses,unisex,round,plastic,blue,14504,"Синие унисекс очки формы круглые, пластиковая оправа, UV400.",4.88,26104
Polaroid Aviator Sunglasses 67,Polaroid,sunglasses,unisex,aviator,acetate,gold,12376,"Золотые унисекс очки формы авиаторы, ацетатная оправа, UV400.",4.56,11003
Oakley Square Sunglasses 68,Oakley,sunglasses,male,square,metal,brown,3914,"Коричневые мужские очки формы квадратные, металлическая оправа, UV400.",3.83,8043
Prada Aviator Sunglasses 69,Prada,sunglasses,unisex,aviator,plastic,silver,11818,"Серебристые унисекс очки формы авиаторы, пластиковая оправа, UV400.",4.49,23558
Guess Rectangular Sunglasses 70,Guess,sunglasses,female,rectangular,metal,brown,12248,"Коричневые женские очки формы прямоугольные, металлическая оправа, UV400.",4.63,29270
Oakley Round Sunglasses 71,Oakley,sunglasses,female,round,acetate,brown,9986,"Коричневые женские очки формы круглые, ацетатная оправа, UV400.",4.36,18285
SOJOS Rectangular Sunglasses 72,SOJOS,sunglasses,male,rectangular,plastic,brown,12437,"Коричневые мужские очки формы прямоугольные, пластиковая оправа, UV400.",4.44,18334
Carrera Cat-Eye Sunglasses 73,Carrera,sunglasses,female,cat-eye,plastic,blue,10476,"Синие женские очки формы кошачий глаз, пластиковая оправа, UV400.",4.34,5235
Prada Square Sunglasses 74,Prada,sunglasses,female,square,acetate,brown,6043,"Коричневые женские очки формы квадратные, ацетатная оправа, UV400.",4.72,17101
Prada Round Sunglasses 75,Prada,sunglasses,unisex,round,plastic,gold,2769,"Золотые унисекс очки формы круглые, пластиковая оправа, UV400.",4.66,7703
Vogue Square Sunglasses 76,Vogue,sunglasses,female,square,metal,blue,3767,"Синие женские очки формы квадратные, металлическая оправа, UV400.",3.98,12571
Polaroid Round Sunglasses 77,Polaroid,sunglasses,unisex,round,plastic,black,8178,"Черные унисекс очки формы круглые, пластиковая оправа, UV400.",4.2,15287
Guess Round Sunglasses 78,Guess,sunglasses,male,round,plastic,silver,14112,"Серебристые мужские очки формы круглые, пластиковая оправа, UV400.",4.5,22810
Ray-Ban Rectangular Sunglasses 79,Ray-Ban,sunglasses,unisex,rectangular,metal,silver,7263,"Серебристые унисекс очки формы прямоугольные, металлическая оправа, UV400.",4.16,12799
Guess Cat-Eye Sunglasses 80,Guess,sunglasses,unisex,cat-eye,metal,blue,9499,"Синие унисекс очки формы кошачий глаз, металлическая оправа, UV400.",4.06,14301
Prada Rectangular Sunglasses 81,Prada,sunglasses,male,rectangular,acetate,gold,12627,"Золотые мужские очки формы прямоугольные, ацетатная оправа, UV400.",4.76,23749
Polaroid Round Sunglasses 82,Polaroid,sunglasses,female,round,acetate,blue,1941,"Синие женские очки формы круглые, ацетатная оправа, UV400.",4.89,19415
Ray-Ban Rectangular Sunglasses 83,Ray-Ban,sunglasses,male,rectangular,plastic,brown,4477,"Коричневые мужские очки формы прямоугольные, пластиковая оправа, UV400.",3.86,12442
Carrera Rectangular Sunglasses 84,Carrera,sunglasses,male,rectangular,plastic,gold,13971,"Золотые мужские очки формы прямоугольные, пластиковая оправа, UV400.",4.86,9137
Guess Aviator Sunglasses 85,Guess,sunglasses,female,aviator,metal,silver,13772,"Серебристые женские очки формы авиаторы, металлическая оправа, UV400.",4.45,11487
SOJOS Aviator Sunglasses 86,SOJOS,sunglasses,unisex,aviator,metal,black,5551,"Черные унисекс очки формы авиаторы, металлическая оправа, UV400.",4.04,687
Polaroid Round Sunglasses 87,Polaroid,sunglasses,male,round,acetate,silver,3374,"Серебристые мужские очки формы круглые, ацетатная оправа, UV400.",4.48,7162
Prada Square Sunglasses 88,Prada,sunglasses,unisex,square,metal,gold,11426,"Золотые унисекс очки формы квадратные, металлическая оправа, UV400.",4.53,24528
Oakley Square Sunglasses 89,Oakley,sunglasses,male,square,acetate,black,1920,"Черные мужские очки формы квадратные, ацетатная оправа, UV400.",4.91,18887
Guess Round Sunglasses 90,Guess,sunglasses,female,round,acetate,black,12815,"Черные женские очки формы круглые, ацетатная оправа, UV400.",4.8,7977
Oakley Square Sunglasses 91,Oakley,sunglasses,unisex,square,metal,blue,14545,"Синие унисекс очки формы квадратные, металлическая оправа, UV400.",4.98,25665
Ray-Ban Cat-Eye Sunglasses 92,Ray-Ban,sunglasses,female,cat-eye,acetate,silver,7571,"Серебристые женские очки формы кошачий глаз, ацетатная оправа, UV400.",3.88,21238
Carrera Rectangular Sunglasses 93,Carrera,sunglasses,male,rectangular,metal,silver,8602,"Серебристые мужские очки формы прямоугольные, металлическая оправа, UV400.",4.95,20846
Prada Round Sunglasses 94,Prada,sunglasses,unisex,round,metal,silver,13522,"Серебристые унисекс очки формы круглые, металлическая оправа, UV400.",4.43,21334
Vogue Cat-Eye Sunglasses 95,Vogue,sunglasses,unisex,cat-eye,plastic,silver,8636,"Серебристые унисекс очки формы кошачий глаз, пластиковая оправа, UV400.",4.79,19434
Vogue Round Sunglasses 96,Vogue,sunglasses,female,round,plastic,black,8885,"Черные женские очки формы круглые, пластиковая оправа, UV400.",4.09,15247
Guess Aviator Sunglasses 97,Guess,sunglasses,female,aviator,plastic,silver,4479,"Серебристые женские очки формы авиаторы, пластиковая оправа, UV400.",4.39,11646
Vogue Square Sunglasses 98,Vogue,sunglasses,female,square,acetate,blue,6026,"Синие женские очки формы квадратные, ацетатная оправа, UV400.",4.47,16948
SOJOS Round Sunglasses 99,SOJOS,sunglasses,male,round,plastic,silver,10596,"Серебристые мужские очки формы круглые, пластиковая оправа, UV400.",4.71,22649
Prada Rectangular Sunglasses 100,Prada,sunglasses,unisex,rectangular,metal,silver,3024,"Серебристые унисекс очки формы прямоугольные, металлическая оправа, UV400.",4.15,13271
SOJOS Cat-Eye Sunglasses 101,SOJOS,sunglasses,female,cat-eye,plastic,gold,10568,"Золотые женские очки формы кошачий глаз, пластиковая оправа, UV400.",4.44,13962
Carrera Rectangular Sunglasses 102,Carrera,sunglasses,female,rectangular,plastic,gold,5618,"Золотые женские очки формы прямоугольные, пластиковая оправа, UV400.",4.08,23655
SOJOS Aviator Sunglasses 103,SOJOS,sunglasses,female,aviator,acetate,blue,4533,"Синие женские очки формы авиаторы, ацетатная оправа, UV400.",4.03,24222
Prada Cat-Eye Sunglasses 104,Prada,sunglasses,female,cat-eye,acetate,blue,6136,"Синие женские очки формы кошачий глаз, ацетатная оправа, UV400.",4.98,27303
SOJOS Round Sunglasses 105,SOJOS,sunglasses,female,round,metal,gold,6452,"Золотые женские очки формы круглые, металлическая оправа, UV400.",3.82,17522
Polaroid Aviator Sunglasses 106,Polaroid,sunglasses,female,aviator,acetate,black,6286,"Черные женские очки формы авиаторы, ацетатная оправа, UV400.",4.64,4157
Prada Aviator Sunglasses 107,Prada,sunglasses,male,aviator,plastic,blue,9190,"Синие мужские очки формы авиаторы, пластиковая оправа, UV400.",4.37,11184
Polaroid Square Sunglasses 108,Polaroid,sunglasses,male,square,metal,silver,14969,"Серебристые мужские очки формы квадратные, металлическая оправа, UV400.",3.88,16133
Oakley Aviator Sunglasses 109,Oakley,sunglasses,unisex,aviator,metal,brown,14789,"Коричневые унисекс очки формы авиаторы, металлическая оправа, UV400.",4.48,9976
Oakley Aviator Sunglasses 110,Oakley,sunglasses,male,aviator,plastic,blue,11433,"Синие мужские очки формы авиаторы, пластиковая оправа, UV400.",4.52,20284
SOJOS Rectangular Sunglasses 111,SOJOS,sunglasses,unisex,rectangular,plastic,silver,6371,"Серебристые унисекс очки формы прямоугольные, пластиковая оправа, UV400.",4.83,14071
Vogue Cat-Eye Sunglasses 112,Vogue,sunglasses,unisex,cat-eye,acetate,black,13625,"Черные унисекс очки формы кошачий глаз, ацетатная оправа, UV400.",3.92,25013
SOJOS Round Sunglasses 113,SOJOS,sunglasses,unisex,round,acetate,gold,2830,"Золотые унисекс очки формы круглые, ацетатная оправа, UV400.",3.99,5715
Oakley Aviator Sunglasses 114,Oakley,sunglasses,male,aviator,plastic,silver,12794,"Серебристые мужские очки формы авиаторы, пластиковая оправа, UV400.",4.51,9563
Ray-Ban Square Sunglasses 115,Ray-Ban,sunglasses,male,square,acetate,gold,8938,"Золотые мужские очки формы квадратные, ацетатная оправа, UV400.",3.89,7668
Vogue Cat-Eye Sunglasses 116,Vogue,sunglasses,unisex,cat-eye,plastic,brown,3380,"Коричневые унисекс очки формы кошачий глаз, пластиковая оправа, UV400.",4.45,21241
Polaroid Round Sunglasses 117,Polaroid,sunglasses,female,round,metal,black,4218,"Черные женские очки формы круглые, металлическая оправа, UV400.",4.75,19518
Vogue Aviator Sunglasses 118,Vogue,sunglasses,female,aviator,acetate,silver,6482,"Серебристые женские очки формы авиаторы, ацетатная оправа, UV400.",4.64,8940
Prada Aviator Sunglasses 119,Prada,sunglasses,female,aviator,metal,blue,8578,"Синие женские очки формы авиаторы, металлическая оправа, UV400.",4.68,19802
Vogue Aviator Sunglasses 120,Vogue,sunglasses,male,aviator,acetate,brown,10924,"Коричневые мужские очки формы авиаторы, ацетатная оправа, UV400.",4.5,699
Vogue Aviator Sunglasses 121,Vogue,sunglasses,unisex,aviator,plastic,brown,10002,"Коричневые унисекс очки формы авиаторы, пластиковая оправа, UV400.",4.58,9134
Polaroid Rectangular Sunglasses 122,Polaroid,sunglasses,unisex,rectangular,metal,silver,9200,"Серебристые унисекс очки формы прямоугольные, металлическая оправа, UV400.",4.22,10941
Carrera Aviator Sunglasses 123,Carrera,sunglasses,unisex,aviator,plastic,brown,8244,"Коричневые унисекс очки формы авиаторы, пластиковая оправа, UV400.",4.63,9464
Guess Aviator Sunglasses 124,Guess,sunglasses,unisex,aviator,metal,silver,6653,"Серебристые унисекс очки формы авиаторы, металлическая оправа, UV400.",4.1,3818
Guess Aviator Sunglasses 125,Guess,sunglasses,unisex,aviator,plastic,blue,8270,"Синие унисекс очки формы авиаторы, пластиковая оправа, UV400.",3.87,17008
Carrera Rectangular Sunglasses 126,Carrera,sunglasses,unisex,rectangular,metal,silver,4835,"Серебристые унисекс очки формы прямоугольные, металлическая оправа, UV400.",4.12,4313
Vogue Rectangular Sunglasses 127,Vogue,sunglasses,female,rectangular,metal,black,11822,"Черные женские очки формы прямоугольные, металлическая оправа, UV400.",4.53,7861
Polaroid Cat-Eye Sunglasses 128,Polaroid,sunglasses,female,cat-eye,acetate,black,8184,"Черные женские очки формы кошачий глаз, ацетатная оправа, UV400.",3.91,27591
Oakley Aviator Sunglasses 129,Oakley,sunglasses,female,aviator,plastic,brown,13240,"Коричневые женские очки формы авиаторы, пластиковая оправа, UV400.",4.15,23134
Vogue Rectangular Sunglasses 130,Vogue,sunglasses,female,rectangular,metal,silver,8983,"Серебристые женские очки формы прямоугольные, металлическая оправа, UV400.",4.46,12589
SOJOS Cat-Eye Sunglasses 131,SOJOS,sunglasses,unisex,cat-eye,metal,brown,6026,"Коричневые унисекс очки формы кошачий глаз, металлическая оправа, UV400.",4.73,28017
Guess Cat-Eye Sunglasses 132,Guess,sunglasses,female,cat-eye,metal,gold,6134,"Золотые женские очки формы кошачий глаз, металлическая оправа, UV400.",4.67,27462
Prada Rectangular Sunglasses 133,Prada,sunglasses,male,rectangular,plastic,blue,7154,"Синие мужские очки формы прямоугольные, пластиковая оправа, UV400.",4.2,25017
Guess Square Sunglasses 134,Guess,sunglasses,female,square,acetate,brown,5412,"Коричневые женские очки формы квадратные, ацетатная оправа, UV400.",4.49,7673
Guess Square Sunglasses 135,Guess,sunglasses,male,square,acetate,silver,14794,"Серебристые мужские очки формы квадратные, ацетатная оправа, UV400.",4.26,21767
Polaroid Aviator Sunglasses 136,Polaroid,sunglasses,female,aviator,acetate,brown,11169,"Коричневые женские очки формы авиаторы, ацетатная оправа, UV400.",4.2,3308
Prada Cat-Eye Sunglasses 137,Prada,sunglasses,male,cat-eye,metal,silver,13336,"Серебристые мужские очки формы кошачий глаз, металлическая оправа, UV400.",3.97,28558
Polaroid Rectangular Sunglasses 138,Polaroid,sunglasses,male,rectangular,plastic,gold,11711,"Золотые мужские очки формы прямоугольные, пластиковая оправа, UV400.",4.63,21313
Oakley Cat-Eye Sunglasses 139,Oakley,sunglasses,female,cat-eye,plastic,silver,11769,"Серебристые женские очки формы кошачий глаз, пластиковая оправа, UV400.",4.66,24904
Prada Aviator Sunglasses 140,Prada,sunglasses,unisex,aviator,metal,blue,5346,"Синие унисекс очки формы авиаторы, металлическая оправа, UV400.",4.56,9436
SOJOS Aviator Sunglasses 141,SOJOS,sunglasses,unisex,aviator,metal,silver,13957,"Серебристые унисекс очки формы авиаторы, металлическая оправа, UV400.",4.56,28612
Oakley Round Sunglasses 142,Oakley,sunglasses,female,round,metal,gold,2253,"Золотые женские очки формы круглые, металлическая оправа, UV400.",4.19,1858
Vogue Square Sunglasses 143,Vogue,sunglasses,female,square,metal,silver,5500,"Серебристые женские очки формы квадратные, металлическая оправа, UV400.",4.44,18564
Polaroid Round Sunglasses 144,Polaroid,sunglasses,male,round,acetate,black,7767,"Черные мужские очки формы круглые, ацетатная оправа, UV400.",4.54,7911
Prada Round Sunglasses 145,Prada,sunglasses,unisex,round,plastic,brown,11951,"Коричневые унисекс очки формы круглые, пластиковая оправа, UV400.",4.1,8386
Ray-Ban Square Sunglasses 146,Ray-Ban,sunglasses,female,square,metal,blue,2710,"Синие женские очки формы квадратные, металлическая оправа, UV400.",4.33,11343
Vogue Rectangular Sunglasses 147,Vogue,sunglasses,unisex,rectangular,plastic,gold,6449,"Золотые унисекс очки формы прямоугольные, пластиковая оправа, UV400.",4.04,12625
Prada Round Sunglasses 148,Prada,sunglasses,male,round,acetate,silver,7381,"Серебристые мужские очки формы круглые, ацетатная оправа, UV400.",4.49,22933
Vogue Rectangular Sunglasses 149,Vogue,sunglasses,male,rectangular,metal,gold,10772,"Золотые мужские очки формы прямоугольные, металлическая оправа, UV400.",4.84,25523
Ray-Ban Rectangular Sunglasses 150,Ray-Ban,sunglasses,unisex,rectangular,metal,gold,11446,"Золотые унисекс очки формы прямоугольные, металлическая оправа, UV400.",4.76,7196
SOJOS Square Sunglasses 151,SOJOS,sunglasses,unisex,square,acetate,brown,3091,"Коричневые унисекс очки формы квадратные, ацетатная оправа, UV400.",4.88,21199
Ray-Ban Rectangular Sunglasses 152,Ray-Ban,sunglasses,female,rectangular,acetate,black,7477,"Черные женские очки формы прямоугольные, ацетатная оправа, UV400.",4.68,2973
Vogue Rectangular Sunglasses 153,Vogue,sunglasses,female,rectangular,metal,brown,3665,"Коричневые женские очки формы прямоугольные, металлическая оправа, UV400.",4.74,28739
Carrera Cat-Eye Sunglasses 154,Carrera,sunglasses,unisex,cat-eye,metal,gold,5710,"Золотые унисекс очки формы кошачий глаз, металлическая оправа, UV400.",4.9,15809
Vogue Square Sunglasses 155,Vogue,sunglasses,unisex,square,plastic,black,2733,"Черные унисекс очки формы квадратные, пластиковая оправа, UV400.",3.97,7412
Guess Square Sunglasses 156,Guess,sunglasses,unisex,square,plastic,black,1728,"Черные унисекс очки формы квадратные, пластиковая оправа, UV400.",4.12,4069
Prada Square Sunglasses 157,Prada,sunglasses,female,square,plastic,blue,14974,"Синие женские очки формы квадратные, пластиковая оправа, UV400.",4.57,12192
Oakley Round Sunglasses 158,Oakley,sunglasses,unisex,round,metal,silver,11650,"Серебристые унисекс очки формы круглые, металлическая оправа, UV400.",4.86,18416
Carrera Round Sunglasses 159,Carrera,sunglasses,unisex,round,acetate,black,14998,"Черные унисекс очки формы круглые, ацетатная оправа, UV400.",4.36,22992
Vogue Rectangular Sunglasses 160,Vogue,sunglasses,unisex,rectangular,metal,black,2242,"Черные унисекс очки формы прямоугольные, металлическая оправа, UV400.",4.94,9993
Prada Aviator Sunglasses 161,Prada,sunglasses,male,aviator,acetate,brown,3722,"Коричневые мужские очки формы авиаторы, ацетатная оправа, UV400.",4.27,12177
Guess Round Sunglasses 162,Guess,sunglasses,unisex,round,acetate,silver,3122,"Серебристые унисекс очки формы круглые, ацетатная оправа, UV400.",4.8,20193
Guess Aviator Sunglasses 163,Guess,sunglasses,female,aviator,metal,gold,8764,"Золотые женские очки формы авиаторы, металлическая оправа, UV400.",4.33,7756
Carrera Square Sunglasses 164,Carrera,sunglasses,male,square,acetate,blue,7376,"Синие мужские очки формы квадратные, ацетатная оправа, UV400.",3.87,9060
SOJOS Rectangular Sunglasses 165,SOJOS,sunglasses,male,rectangular,acetate,black,4975,"Черные мужские очки формы прямоугольные, ацетатная оправа, UV400.",4.57,19587
Ray-Ban Square Sunglasses 166,Ray-Ban,sunglasses,male,square,metal,brown,14393,"Коричневые мужские очки формы квадратные, металлическая оправа, UV400.",4.48,2268
SOJOS Round Sunglasses 167,SOJOS,sunglasses,unisex,round,plastic,brown,14187,"Коричневые унисекс очки формы круглые, пластиковая оправа, UV400.",3.98,29528
Ray-Ban Round Sunglasses 168,Ray-Ban,sunglasses,female,round,acetate,brown,5606,"Коричневые женские очки формы круглые, ацетатная оправа, UV400.",4.76,3622
